Data,Hora,frequencia-respiratoria,batimentos-cardiacos,saturacao,temperatura-corporal,temperatura-ambiente,temperatura-oximetro,qualidade-ar-pm25,qualidade-ar-pm10,qualidade-ar-aqi,movimento-toracico,contagem-tosse,som,umidade,acelerometro-x,acelerometro-y,acelerometro-z,giroscopio-x,giroscopio-y,giroscopio-z
2025-08-07,11:16:25,0,0,0,19.31,19.88,22.37,1.15,2.03,1.0,0,0,90,-4.29,-5.6,5.93,-0.03,0.03,-0.0,1243.0
2025-08-07,11:16:35,0,125.0,12.0,19.31,19.9,22.5,1.15,2.03,1.0,0,0,90,-4.33,-5.63,5.88,-0.03,0.03,-0.0,1398.0
2025-08-07,11:16:38,0,0,0,19.31,19.89,22.37,1.15,2.03,1.0,0,0,90,-4.32,-5.58,5.94,-0.03,0.03,-0.0,1891.0
2025-08-07,11:16:45,0,125.0,12.0,19.31,19.89,22.19,1.15,2.03,1.0,0,0,90,-4.32,-5.6,5.92,-0.03,0.03,-0.0,1113.0
2025-08-07,11:16:48,0,100.0,89.0,19.31,19.9,22.44,1.15,2.03,1.0,0,0,90,-4.3,-5.58,5.91,-0.03,0.03,-0.0,960.0
2025-08-07,11:16:55,0,100.0,89.0,19.31,19.87,22.31,1.15,2.03,1.0,0,0,90,-4.3,-5.64,5.9,-0.03,0.03,-0.0,413.0
2025-08-07,11:16:58,0,100.0,89.0,19.31,19.89,22.31,1.15,2.03,1.0,0,0,90,-4.32,-5.61,5.92,-0.03,0.03,-0.0,445.0
2025-08-07,11:17:05,0,166.0,40.0,19.31,19.9,22.37,1.15,2.03,1.0,0,0,90,-4.33,-5.62,5.89,-0.03,0.03,-0.0,805.0
2025-08-07,11:17:08,0,166.0,40.0,19.31,19.88,22.37,1.15,2.03,1.0,0,0,90,-4.31,-5.59,5.91,-0.03,0.03,-0.0,608.0
2025-08-07,11:17:15,0,166.0,40.0,19.31,19.86,22.37,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.89,-0.03,0.03,-0.0,522.0
2025-08-07,11:17:18,0,166.0,40.0,19.31,19.86,22.31,1.15,2.03,1.0,0,0,90,-4.35,-5.61,5.92,-0.03,0.03,-0.0,601.0
2025-08-07,11:17:25,0,136.0,89.0,19.31,19.86,22.31,1.15,2.03,1.0,0,0,90,-4.3,-5.62,5.91,-0.03,0.03,-0.0,1345.0
2025-08-07,11:17:28,0,136.0,89.0,19.31,19.84,22.06,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.92,-0.03,0.03,-0.0,898.0
2025-08-07,11:17:36,0,136.0,89.0,19.31,19.83,22.31,1.15,2.03,1.0,0,0,90,-4.32,-5.63,5.91,-0.03,0.03,-0.0,1104.0
2025-08-07,11:17:38,0,83.0,89.0,19.31,19.84,22.13,1.15,2.03,1.0,0,0,90,-4.32,-5.61,5.91,-0.03,0.03,-0.0,1490.0
2025-08-07,11:17:46,0,83.0,89.0,19.31,19.82,22.13,1.15,2.03,1.0,0,0,90,-4.33,-5.62,5.89,-0.03,0.03,-0.0,1886.0
2025-08-07,11:17:48,0,83.0,89.0,19.31,19.85,22.13,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.93,-0.03,0.03,-0.0,770.0
2025-08-07,11:17:56,0,83.0,89.0,19.31,19.84,22.13,1.15,2.03,1.0,0,0,90,-4.31,-5.61,5.93,-0.03,0.03,-0.0,1616.0
2025-08-07,11:17:58,0,166.0,89.0,19.31,19.85,22.13,1.15,2.03,1.0,0,0,90,-4.32,-5.6,5.92,-0.03,0.03,-0.0,622.0
2025-08-07,11:18:06,0,166.0,89.0,19.37,19.84,22.13,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.94,-0.03,0.03,-0.0,926.0
2025-08-07,11:18:08,0,166.0,89.0,19.31,19.83,22.19,1.15,2.03,1.0,0,0,90,-4.32,-5.61,5.93,-0.03,0.03,-0.0,607.0
2025-08-07,11:18:16,0,166.0,89.0,19.37,19.83,22.13,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.92,-0.03,0.03,-0.0,564.0
2025-08-07,11:18:18,0,166.0,89.0,19.37,19.83,22.13,1.15,2.03,1.0,0,0,90,-4.31,-5.61,5.94,-0.03,0.03,-0.0,440.0
2025-08-07,11:18:26,0,166.0,89.0,19.37,19.84,22.37,1.15,2.03,1.0,0,0,90,-4.32,-5.63,5.91,-0.03,0.03,-0.0,305.0
2025-08-07,11:18:28,0,166.0,89.0,19.37,19.85,22.31,1.15,2.03,1.0,0,0,90,-4.3,-5.6,5.91,-0.03,0.03,-0.0,495.0
2025-08-07,11:18:36,0,166.0,89.0,19.37,19.86,22.44,1.15,2.03,1.0,0,0,90,-4.33,-5.61,5.92,-0.03,0.03,-0.0,573.0
2025-08-07,11:18:38,0,166.0,89.0,19.37,19.85,22.19,1.15,2.03,1.0,0,0,90,-4.31,-5.6,5.94,-0.03,0.03,-0.0,506.0
2025-08-07,11:18:46,0,166.0,89.0,19.37,19.86,22.5,1.15,2.03,1.0,0,1,90,-4.29,-5.61,5.96,-0.03,0.03,-0.0,469.0
2025-08-07,11:18:48,0,166.0,89.0,19.37,19.85,22.37,1.15,2.03,1.0,0,1,90,-4.34,-5.61,5.91,-0.03,0.03,-0.0,175.0
2025-08-07,11:18:56,0,57.0,47.0,19.37,19.84,22.31,1.15,2.03,1.0,0,1,90,-4.33,-5.63,5.88,-0.03,0.03,-0.0,476.0
2025-08-07,11:18:58,0,57.0,47.0,19.37,19.84,22.31,1.15,2.03,1.0,0,1,90,-4.33,-5.63,5.88,-0.03,0.03,-0.0,476.0
2025-08-07,11:19:06,0,57.0,47.0,19.37,19.87,22.44,1.15,2.03,1.0,0,1,90,-4.3,-5.62,5.95,-0.03,0.03,-0.0,574.0
2025-08-07,11:19:08,0,57.0,47.0,19.37,19.86,22.44,1.15,2.03,1.0,0,1,90,-4.31,-5.62,5.91,-0.03,0.03,-0.0,457.0
2025-08-07,11:19:16,0,57.0,47.0,19.37,19.88,22.37,1.15,2.03,1.0,0,1,90,-4.31,-5.61,5.94,-0.03,0.03,-0.0,438.0
